#JKSV Switch translation guide
#Button strings [X] are replaced by JKSV at boot.
#string = set string to this.
#Translation author. Displayed in UI. NULL is ignored and not displayed.
author = "NULL"

#Help/Guide strings on bottom
#User Select
userHelp = "[A] Selecionar   [Y] Baixar tudo   [X] Modo UI   [R] Atualizar   [-] Opções   [ZR] Extras"

#Title Select
titleHelp = "[A] Selecionar   [L][R] Trocar Usuario   [Y] Baixar tudo   [X] Favorito   [-] Lista negra   [ZR] Apagar   [B] Voltar"

#Folder Select
folderHelp = "[-] Modo arquivo  [L]/[R]+[A] Auto  [A] Backup  [Y] Restaurar  [X] Apagar selecionado  [ZR] Apagar  [B] Voltar"

#Options Menu
optHelp = "[A] Alternar   [X] Padrões   [B] Voltar"

#Button prompts.
yt = "Sim [A]"
nt = "Não  [B]"

#On/Off for options. '>' is used to change color to green.
on = ">Ligado>"
off = "Desligado"

#Strings for messages/confirmation. '*' and '#' are used in strings to change color. %s is replaced with titles and names with sprintf.
#Text shown at the top of confirmation boxes
confirmHead = "Confirmar"

#Text shown at top of progress dialog when copying files
copyHead = "Copiando arquivo..."

#Confirm blacklist.
confirmBlacklist = "Você tem certeza que quer adicionar #%s# para sua blacklist?"

#Confirm overwriting folder
confirmOverwrite = "Você tem certeza que quer substituir #%s#?"

#Confirm restoring save
confirmRestore = "Você tem certeza que quer restaurar #%s#?"

#Confirm deleting.
confirmDelete = "Você tem certeza que quer apagar #%s#? *Isto é PERMANENTE*!"

#Confirm file copy in file mode
confirmCopy = "Você tem certeza que quer copiar #%s# para #%s#?"

#Warning for erasing save data from system in title menu
confirmEraseNand = "*AVISO*: Isto *irá* apagar os saves de #%s# *so seu sistema*. Isto é o mesmo que apagar do #Gerenciamento de dados#! Certeza que você quer continuar?"

#Warning for deleting save data in folder menu
confirmEraseFolder = "*AVISO*: Isto *irá* deletar os saves atuais de #%s# *do seu sistema*! Você tem certeza que quer continuar?"

#Error displayed in pop-up if no titles are found for user. Rarely happens, but can for Device and BCAT
noSavesFound = "Nenhum arquivo de saves encontrados para #%s#!"

#Error pop-up displayed when git can't be connected to
errorConnecting = "Erro ao conectar!"

#Pop-up shown when no updates are found on git
noUpdate = "Nenhuma atualização encontrada!"

#Text displayed when holding is required. Should have a trailing space
holdingText = 0, "(Segure) "
holdingText = 1, "(Continue segurando) "
holdingText = 2, "(Quase lá!) "

#Menu options are held in arrays of strings.
#The number is the option to set, string is what to set to.
#Only the string after the comma needs to be edited.
#Adv/file mode menu
#'Copy to ' NEEDS a trailing space
advMenu = 0, "Copiar para "
advMenu = 1, "Apagar"
advMenu = 2, "Renomear"
advMenu = 3, "Criar Diretório"
advMenu = 4, "Propriedades"
advMenu = 5, "Fechar"

#Extras Menu
extMenu = 0, "Navegador SD para SD"
extMenu = 1, "BIS: PRODINFOF"
extMenu = 2, "BIS: SAFE"
extMenu = 3, "BIS: SYSTEM"
extMenu = 4, "BIS: USER"
extMenu = 5, "Remover atualização"
extMenu = 6, "Finalizar processo"
extMenu = 7, "Montar System Save"
extMenu = 8, "Reescanear Títulos"
extMenu = 9, "Montar processo RomFS"
extMenu = 10, "Fazer Backup da pasta JKSV"

#Options menu
#All options need a trailing space. It is the most likely to have things added to it.
optMenu = 0, "Incluir Dev Sv: "
optMenu = 1, "AutoBackup: "
optMenu = 2, "Overclock: "
optMenu = 3, "Segure para apagar: "
optMenu = 4, "Segure para restaurar: "
optMenu = 5, "Segure para substituir: "
optMenu = 6, "Forçar Montar: "
optMenu = 7, "Conta dos Saves do Sistema: "
optMenu = 8, "Escrever Saves no Sistema: "
optMenu = 9, "Interface modo Texto: "
optMenu = 10, "FS Cmd. Direto: "
optMenu = 11, "Pular seleção de usuário: "
optMenu = 12, "Exportar para ZIP: "
optMenu = 13, "Ordenar: "
optMenu = 14, "Forçar idioma: "

#Explanations of what options do.
optMenuExp = 0, "Inclui informações do dispositivo nas contas dos usuários."
optMenuExp = 1, "Cria um backup do save atual automaticamente antes de restaurar um save."
optMenuExp = 2, "Aplica um pequeno Overclock na CPU para 1224Mhz ao iniciar. Esta é a mesma velocidade que as versões de desenvolvedores rodam."
optMenuExp = 3, "Querendo ou não, obriga segurar [A] para apagar pastas e arquivos."
optMenuExp = 4, "Querendo ou não, obriga segurar [A] para restaurar saves."
optMenuExp = 5, "Querendo ou não, obriga segurar [A] para subsituir saves no cartão SD."
optMenuExp = 6, "Quando habilitado JKSV só irá carregador e mostrar os saves que podem ser abertos. Quando desabilitado, vai mostrar tudo que encontrar."
optMenuExp = 7, "Quando habilitado, saves do sistema associados à contas serão mostrados."
optMenuExp = 8, "Controla quando saves do sistema e partições podem ter arquivos escritos e apagados. *Isto pode ser muito perigoso se você não souber o que estiver fazendo!*"
optMenuExp = 9, "Muda a interface para o modo texto, como era o JKSM original para 3DS."
optMenuExp = 10, "Usa comandos do Switch FS diretamente ao invés do stdio ao copiar arquivos."
optMenuExp = 11, "Pula a tela de seleção de usuário e vai direto para a primeira conta que encontrar."
optMenuExp = 12, "Exporta os saves para arquivos ZIP."
optMenuExp = 13, "Muda a maneira como que os títulos são listados e ordenados."
optMenuExp = 14, "Força o uso do idioma Inglês independente do idioma do sistema."

#Sort Types
sortType = 0, "Alfabética"
sortType = 1, "Tempo de jogo"
sortType = 2, "Último jogado"
